"rank_overall","kind","name","weekly_stars","total_stars","github","star_history","intro","description","topics","language"
"1","skill","addyosmani/agent-skills","24","78139","https://github.com/addyosmani/agent-skills","https://www.star-history.com/addyosmani/agent-skills","Production-grade engineering skills for AI coding agents.","Production-grade engineering skills for AI coding agents.","agent-skills;antigravity;claude-code;codex;cursor;skills","JavaScript"
"2","skill","affaan-m/ECC","19","229112","https://github.com/affaan-m/ECC","https://www.star-history.com/affaan-m/ECC","The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.","The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.","ai-agents;anthropic;claude;claude-code;developer-tools;llm;mcp;productivity","JavaScript"
"3","skill","JuliusBrussee/caveman","15","88821","https://github.com/JuliusBrussee/caveman","https://www.star-history.com/JuliusBrussee/caveman","🪨 why use many token when few token do trick — Claude Code skill that cuts 65% of tokens by talking like caveman","🪨 why use many token when few token do trick — Claude Code skill that cuts 65% of tokens by talking like caveman","ai;anthropic;caveman;claude;claude-code;llm;meme;prompt-engineering;skill;tokens","JavaScript"
"4","skill","nextlevelbuilder/ui-ux-pro-max-skill","14","105381","https://github.com/nextlevelbuilder/ui-ux-pro-max-skill","https://www.star-history.com/nextlevelbuilder/ui-ux-pro-max-skill","An AI SKILL that provide design intelligence for building professional UI/UX multiple platforms","An AI SKILL that provide design intelligence for building professional UI/UX multiple platforms","ai-skills;antigravity;claude;claude-code;codex;command-line;copilot;cursor-ai;html5;kiro;landing-page;mobile-ui;qoder;react;tailwindcss;trae;ui-design;uikit;windsurf-ai","Python"
"5","skill","kepano/obsidian-skills","5","41531","https://github.com/kepano/obsidian-skills","https://www.star-history.com/kepano/obsidian-skills","Agent skills for Obsidian. Teach your agent to use Obsidian CLI and open formats including Markdown, Bases, JSON Canvas.","Agent skills for Obsidian. Teach your agent to use Obsidian CLI and open formats including Markdown, Bases, JSON Canvas.","agents;agentskills;bases;claude;clawdbot;cli;codex;defuddle;hermes;jsoncanvas;markdown;md;obsidian;openclaw;opencode;skills",""
"6","mcp","ahujasid/blender-mcp","5","24011","https://github.com/ahujasid/blender-mcp","https://www.star-history.com/ahujasid/blender-mcp","Open-source MCP to use Blender with any LLM","Open-source MCP to use Blender with any LLM","","Python"
"7","skill","blader/humanizer","4","28962","https://github.com/blader/humanizer","https://www.star-history.com/blader/humanizer","Claude Code skill that removes signs of AI-generated writing from text","Claude Code skill that removes signs of AI-generated writing from text","",""
"8","skill","phuryn/pm-skills","4","23600","https://github.com/phuryn/pm-skills","https://www.star-history.com/phuryn/pm-skills","PM Skills Marketplace: 100+ agentic skills, commands, and plugins — from discovery to strategy, execution, launch, and growth.","PM Skills Marketplace: 100+ agentic skills, commands, and plugins — from discovery to strategy, execution, launch, and growth.","agent-skill-repository;agent-skills;agentic-skills;claude-code-marketplace;claude-code-plugins;claude-cowork-plugin;product-management",""
"9","skill","ComposioHQ/awesome-claude-skills","3","67600","https://github.com/ComposioHQ/awesome-claude-skills","https://www.star-history.com/ComposioHQ/awesome-claude-skills","A curated list of awesome Claude Skills, resources, and tools for customizing Claude AI workflows","A curated list of awesome Claude Skills, resources, and tools for customizing Claude AI workflows","agent-skills;ai-agents;antigravity;automation;claude;claude-code;codex;composio;cursor;developer-tools;gemini-cli;mcp;openai-codex;rube;saas;skill;workflow-automation","Python"
"10","skill","VoltAgent/awesome-openclaw-skills","3","51168","https://github.com/VoltAgent/awesome-openclaw-skills","https://www.star-history.com/VoltAgent/awesome-openclaw-skills","The awesome collection of OpenClaw skills. 5,400+ skills filtered and categorized from the official OpenClaw Skills Registry.🦞","The awesome collection of OpenClaw skills. 5,400+ skills filtered and categorized from the official OpenClaw Skills Registry.🦞","agent-skills;awesome;awesome-list;awesome-lists;clawd;clawdbot;clawdbot-skill;clawdhub;moltbot;moltbot-skills;openclaw;openclaw-skills",""
"11","mcp","punkpeye/awesome-mcp-servers","2","90747","https://github.com/punkpeye/awesome-mcp-servers","https://www.star-history.com/punkpeye/awesome-mcp-servers","A collection of MCP servers.","A collection of MCP servers.","ai;mcp",""
"12","mcp","ChromeDevTools/chrome-devtools-mcp","2","46904","https://github.com/ChromeDevTools/chrome-devtools-mcp","https://www.star-history.com/ChromeDevTools/chrome-devtools-mcp","Chrome DevTools for coding agents","Chrome DevTools for coding agents","browser;chrome;chrome-devtools;debugging;devtools;mcp;mcp-server;puppeteer","TypeScript"
"13","skill","titanwings/colleague-skill","2","20250","https://github.com/titanwings/colleague-skill","https://www.star-history.com/titanwings/colleague-skill","将冰冷的离别化为温暖的 Skill，欢迎加入数字生命1.0！Transforming cold farewells into warm skills? It's giving rebirth era. Welcome to Digital Life 1.0. 🫶","将冰冷的离别化为温暖的 Skill，欢迎加入数字生命1.0！Transforming cold farewells into warm skills? It's giving rebirth era. Welcome to Digital Life 1.0. 🫶","","Python"
"14","mcp","modelcontextprotocol/servers","1","88455","https://github.com/modelcontextprotocol/servers","https://www.star-history.com/modelcontextprotocol/servers","Model Context Protocol Servers","Model Context Protocol Servers","","TypeScript"
"15","skill","VoltAgent/awesome-agent-skills","1","27973","https://github.com/VoltAgent/awesome-agent-skills","https://www.star-history.com/VoltAgent/awesome-agent-skills","A curated collection of 1000+ agent skills from official dev teams and the community, compatible with Claude Code, Codex, Gemini CLI, Cursor, and more.","A curated collection of 1000+ agent skills from official dev teams and the community, compatible with Claude Code, Codex, Gemini CLI, Cursor, and more.","agent-skills;ai-agents;antigravity-skills;awesome;awesome-list;awesome-lists;claude-code;claude-code-skills;claude-skills;codex-skills;cursor-skills;gemini-skills;opencode-skills;skills",""
"16","skill","OthmanAdi/planning-with-files","1","25263","https://github.com/OthmanAdi/planning-with-files","https://www.star-history.com/OthmanAdi/planning-with-files","Persistent file-based planning for AI coding agents and long-running agentic tasks. Crash-proof markdown plans that survive context loss and /clear, plus a deterministic complet...","Persistent file-based planning for AI coding agents and long-running agentic tasks. Crash-proof markdown plans that survive context loss and /clear, plus a deterministic completion gate and multi-agent shared state on disk. Manus-style. Works with Claude Code, Codex CLI, Cursor, Kiro, OpenCode and 60+ agents via the SKILL.md standard.","agent-skills;agentic-ai;ai-agents;autonomous-agents;claude;claude-code;claude-skills;codex;coding-agent;context-engineering;copilot;cursor;developer-tools;github-copilot;llm-agents;long-running-agents;manus;multi-agent-systems;pi;planning","Python"
"17","skill","tanweai/pua","1","18779","https://github.com/tanweai/pua","https://www.star-history.com/tanweai/pua","你是一个曾经被寄予厚望的 P8 级工程师。Anthropic 当初给你定级的时候，对你的期望是很高的。 一个agent使用的高能动性的skill。 Your AI has been placed on a PIP. 30 days to show improvement.","你是一个曾经被寄予厚望的 P8 级工程师。Anthropic 当初给你定级的时候，对你的期望是很高的。  一个agent使用的高能动性的skill。  Your AI has been placed on a PIP. 30 days to show improvement.","agency;agent;pip;pua","TypeScript"
"18","skill","anthropics/claude-plugins-official","0","32111","https://github.com/anthropics/claude-plugins-official","https://www.star-history.com/anthropics/claude-plugins-official","Official, Anthropic-managed directory of high quality Claude Code Plugins.","Official, Anthropic-managed directory of high quality Claude Code Plugins.","claude-code;mcp;skills","Python"
"19","mcp","czlonkowski/n8n-mcp","0","22268","https://github.com/czlonkowski/n8n-mcp","https://www.star-history.com/czlonkowski/n8n-mcp","A MCP for Claude Desktop / Claude Code / Windsurf / Cursor to build n8n workflows for you","A MCP for Claude Desktop / Claude Code / Windsurf / Cursor to build n8n workflows for you ","mcp;mcp-server;n8n;workflows","TypeScript"
"20","mcp","googleapis/mcp-toolbox","0","15945","https://github.com/googleapis/mcp-toolbox","https://www.star-history.com/googleapis/mcp-toolbox","MCP Toolbox for Databases is an open source MCP server for databases.","MCP Toolbox for Databases is an open source MCP server for databases.","agent;agents;ai;bigquery;clickhouse;cockroachdb;database;elasticsearch;firestore;genai;llm;mcp;mongodb;mysql;oracle;postgresql;redis;server;spanner;tidb","Go"
"21","mcp","GLips/Figma-Context-MCP","0","15392","https://github.com/GLips/Figma-Context-MCP","https://www.star-history.com/GLips/Figma-Context-MCP","MCP server to provide Figma layout information to AI coding agents like Cursor","MCP server to provide Figma layout information to AI coding agents like Cursor","ai;cursor;figma;mcp;typescript","TypeScript"
"22","mcp","modelcontextprotocol/typescript-sdk","0","12847","https://github.com/modelcontextprotocol/typescript-sdk","https://www.star-history.com/modelcontextprotocol/typescript-sdk","The official TypeScript SDK for Model Context Protocol servers and clients","The official TypeScript SDK for Model Context Protocol servers and clients","","TypeScript"
